Time,Cell Name,EPM_RRC_SR,EPM_ERAB_SR,Cluster
2022-08-27,LCAIE20055-6,99.8418,100.0,29
2022-08-27,LCAIE20055-7,100.0,100.0,29
2022-08-27,LCAIE20046-7,100.0,100.0,29
2022-08-27,LCAIE20046-6,100.0,99.8899,29
2022-08-27,LCAIE20046-5,100.0,100.0,29
2022-08-27,LCAIE20046-3,100.0,99.7877,29
2022-08-27,LCAIE20046-2,100.0,100.0,29
2022-08-27,LCAIE20046-1,100.0,100.0,29
2022-08-27,LCAIE20044-1,100.0,100.0,29
2022-08-27,LCAIE20044-2,100.0,100.0,29
2022-08-27,LCAIE20044-3,99.9078,100.0,29
2022-08-27,LCAIE20044-5,100.0,100.0,29
2022-08-27,LCAIE20044-6,100.0,100.0,29
2022-08-27,LCAIE20044-7,100.0,99.5117,29
2022-08-27,LCAIE10276-1,99.9564,100.0,11
2022-08-27,LCAIE10276-2,100.0,99.9071,11
2022-08-27,LCAIE10276-3,100.0,99.8849,11
2022-08-27,LCAIE10276-5,99.5918,99.3528,11
2022-08-27,LCAIE10276-6,100.0,99.5662,11
2022-08-27,LCAIE10276-7,100.0,100.0,11
2022-08-27,LCAIE20032-1,100.0,99.9564,29
2022-08-27,LCAIE20032-2,100.0,99.8974,29
2022-08-27,LCAIE20032-3,99.9775,99.8249,29
2022-08-27,LCAIE20032-5,100.0,100.0,29
2022-08-27,LCAIE20032-6,100.0,100.0,29
2022-08-27,LCAIE20032-7,99.8594,99.6058,29
2022-08-27,LCAIE10024-1,100.0,99.3243,37
2022-08-27,LCAIE10024-2,100.0,100.0,37
2022-08-27,LCAIE10024-5,100.0,100.0,37
2022-08-27,LCAIE10024-7,100.0,100.0,37
2022-08-27,LCAIE10094-1,99.9507,100.0,11
2022-08-27,LCAIE10094-2,100.0,100.0,11
2022-08-27,LCAIE10094-3,99.9554,99.9559,11
2022-08-27,LCAIE10094-5,100.0,100.0,11
2022-08-27,LCAIE10094-6,100.0,100.0,11
2022-08-27,LCAIE10094-7,100.0,100.0,11
2022-08-27,LCAIE10011-1,100.0,100.0,37
2022-08-27,LCAIE10011-2,100.0,100.0,37
2022-08-27,LCAIE10011-3,100.0,100.0,37
2022-08-27,LCAIE10011-5,100.0,100.0,37
2022-08-27,LCAIE10011-6,100.0,100.0,37
2022-08-27,LCAIE10011-7,100.0,100.0,37
2022-08-27,LCAIE10002-1,100.0,99.7669,37
2022-08-27,LCAIE10002-2,100.0,100.0,37
2022-08-27,LCAIE10002-3,100.0,99.6681,37
2022-08-27,LCAIE10002-5,100.0,100.0,37
2022-08-27,LCAIE10002-6,100.0,99.6124,37
2022-08-27,LCAIE10002-7,100.0,99.6767,37
2022-08-27,LCAIW30340-1,100.0,100.0,27
2022-08-27,LCAIW30340-2,100.0,99.9455,27
2022-08-27,LCAIW30340-3,100.0,100.0,27
2022-08-27,LCAIW30340-5,100.0,100.0,27
2022-08-27,LCAIW30340-6,100.0,99.6296,27
2022-08-27,LCAIW30340-7,100.0,100.0,27
2022-08-27,LDELE34343-7,100.0,100.0,19
2022-08-27,LDELE34343-6,100.0,100.0,19
2022-08-27,LDELE34343-5,100.0,100.0,19
2022-08-27,LDELE34343-3,100.0,100.0,19
2022-08-27,LDELE34343-2,100.0,100.0,19
2022-08-27,LDELE34343-1,100.0,100.0,19
2022-08-27,LDELE14053-7,100.0,99.2453,46
2022-08-27,LDELE14053-6,100.0,100.0,46
2022-08-27,LDELE14053-5,100.0,100.0,46
2022-08-27,LDELE14053-3,100.0,99.9211,46
2022-08-27,LDELE14053-2,100.0,100.0,46
2022-08-27,LDELE14053-1,100.0,99.9568,46
2022-08-27,LCAIW10871-7,99.9092,99.9194,25
2022-08-27,LCAIW10871-6,100.0,100.0,25
2022-08-27,LCAIW10871-5,100.0,100.0,25
2022-08-27,LCAIW20289-1,100.0,99.8239,9
2022-08-27,LCAIW20289-2,100.0,100.0,9
2022-08-27,LCAIW20289-3,100.0,99.7773,9
2022-08-27,LCAIW20289-5,100.0,99.4975,9
2022-08-27,LCAIW20289-6,100.0,100.0,9
2022-08-27,LCAIW20289-7,100.0,98.6667,9
2022-08-27,LCAIN10835-6,100.0,100.0,34
2022-08-27,LCAIN10835-5,100.0,100.0,34
2022-08-27,LCAIN10835-3,100.0,100.0,34
2022-08-27,LCAIN10835-2,100.0,100.0,34
2022-08-27,LCAIN10835-1,100.0,100.0,34
2022-08-27,LCAIE30101-7,100.0,100.0,0
2022-08-27,LCAIE30101-6,100.0,100.0,0
2022-08-27,LCAIE30101-5,100.0,100.0,0
2022-08-27,LCAIE30101-3,99.6587,100.0,0
2022-08-27,LCAIE30101-2,99.926,99.8586,0
2022-08-27,LCAIE30101-1,100.0,99.7375,0
2022-08-27,LCAIE10934-7,100.0,100.0,11
2022-08-27,LCAIE10934-6,100.0,99.5575,11
2022-08-27,LCAIE10934-5,100.0,100.0,11
2022-08-27,LCAIW30342-7,100.0,100.0,27
2022-08-27,LCAIW30342-6,100.0,100.0,27
2022-08-27,LCAIW30342-5,100.0,99.867,27
2022-08-27,LCAIW30342-3,99.9339,100.0,27
2022-08-27,LCAIW30342-2,100.0,100.0,27
2022-08-27,LCAIW30342-1,100.0,99.915,27
2022-08-27,LCAIW10877-7,100.0,100.0,25
2022-08-27,LCAIW10877-6,100.0,99.4949,25
2022-08-27,LCAIW10877-5,100.0,100.0,25
2022-08-27,LCAIW20277-1,99.9638,99.9653,9
2022-08-27,LCAIW20277-2,100.0,100.0,9
2022-08-27,LCAIW20277-3,100.0,99.9348,9
2022-08-27,LCAIW20277-5,100.0,99.8896,9
2022-08-27,LCAIW20277-6,100.0,99.8243,9
2022-08-27,LCAIW20277-7,100.0,99.5149,9
2022-08-27,LCAIE30091-1,100.0,100.0,0
2022-08-27,LCAIE30091-2,100.0,100.0,0
2022-08-27,LCAIE30091-3,100.0,100.0,0
2022-08-27,LCAIE30091-5,100.0,100.0,0
2022-08-27,LCAIE30091-6,100.0,100.0,0
2022-08-27,LCAIE30091-7,100.0,100.0,0
2022-08-27,LCAIW10240-7,100.0,100.0,12
2022-08-27,LCAIW10240-6,99.9034,100.0,12
2022-08-27,LCAIW10240-5,100.0,100.0,12
2022-08-27,LCAIW10240-3,100.0,100.0,12
2022-08-27,LCAIW10240-2,100.0,99.8553,12
2022-08-27,LCAIW10240-1,100.0,99.939,12
2022-08-27,LCAIN30991-7,100.0,99.9533,39
2022-08-27,LCAIN30991-6,99.8586,100.0,39
2022-08-27,LCAIN30991-5,100.0,100.0,39
2022-08-27,LCAIE10013-7,100.0,100.0,37
2022-08-27,LCAIE10013-6,100.0,100.0,37
